==============================================================================
0200 : JMP 03A7   :     1695 cycles (  0.008982%)      565 ins (3.00 cpi)
0203 : LDX #FF    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0205 : TXS        :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0206 : STZ 33     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
0208 : STZ 34     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
020A : LDX #40    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
020C : STX FF9B   :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
020F : LDX #40    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0211 : STX FF94   :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
0214 : LDX #1F    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0216 : STX FF95   :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
0219 : LDX #7F    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
021B : STX FF9E   :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
021E : LDX #C0    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0220 : STX FF9E   :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
0223 : CLI        :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0224 : LDA #04    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0226 : STA 24     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
0228 : STZ 23     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
022A : LDY #8F    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
022C : LDA #00    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
022E : STA (23),Y :   189606 cycles (  1.004779%)    31601 ins (6.00 cpi) *******
0230 : INY        :    63202 cycles (  0.334926%)    31601 ins (2.00 cpi) **
0231 : BNE 022E   :    94679 cycles (  0.501733%)    31601 ins (3.00 cpi) ***
0233 : INC 24     :      620 cycles (  0.003286%)      124 ins (5.00 cpi)
0235 : BPL 022E   :      371 cycles (  0.001966%)      124 ins (2.99 cpi)
0237 : LDX #03    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0239 : STX 30     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
023B : STZ 31     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
023D : STZ 32     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
023F : LDA #07    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0241 : STA 20     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
0243 : STZ 21     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
0245 : STZ 22     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
0247 : LDA #8F    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0249 : STA 23     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
024B : LDA #04    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
024D : STA 24     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
024F : LDX #06    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0251 : CLC        :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0252 : LDA (23)   :  1264035 cycles (  6.698503%)   252807 ins (5.00 cpi) **************************************************
0254 : BIT 0487,X :  1011228 cycles (  5.358802%)   252807 ins (4.00 cpi) ****************************************
0257 : BEQ 0279   :   580379 cycles (  3.075604%)   252807 ins (2.30 cpi) **********************
0259 : LDA 20     :   758421 cycles (  4.019102%)   252807 ins (3.00 cpi) ******************************
025B : ADC 047F,X :  1011228 cycles (  5.358802%)   252807 ins (4.00 cpi) ****************************************
025E : STA 20     :   758421 cycles (  4.019102%)   252807 ins (3.00 cpi) ******************************
0260 : BCC 0269   :   754717 cycles (  3.999473%)   252807 ins (2.99 cpi) *****************************
0262 : CLC        :     7408 cycles (  0.039257%)     3704 ins (2.00 cpi)
0263 : INC 21     :    18520 cycles (  0.098143%)     3704 ins (5.00 cpi)
0265 : BNE 0269   :    11098 cycles (  0.058812%)     3704 ins (3.00 cpi)
0267 : INC 22     :       70 cycles (  0.000371%)       14 ins (5.00 cpi)
0269 : DEX        :   505614 cycles (  2.679401%)   252807 ins (2.00 cpi) ********************
026A : BPL 0252   :   726820 cycles (  3.851639%)   252807 ins (2.87 cpi) ****************************
026C : LDX #07    :    63202 cycles (  0.334926%)    31601 ins (2.00 cpi) **
026E : INC 23     :   158005 cycles (  0.837316%)    31601 ins (5.00 cpi) ******
0270 : BNE 0252   :    94679 cycles (  0.501733%)    31601 ins (3.00 cpi) ***
0272 : INC 24     :      620 cycles (  0.003286%)      124 ins (5.00 cpi)
0274 : BPL 0252   :      371 cycles (  0.001966%)      124 ins (2.99 cpi)
0276 : JMP 0366   :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
0279 : LDA 30     :   224295 cycles (  1.188607%)    74765 ins (3.00 cpi) ********
027B : ADC #01    :   149530 cycles (  0.792405%)    74765 ins (2.00 cpi) *****
027D : STA 30     :   224295 cycles (  1.188607%)    74765 ins (3.00 cpi) ********
027F : BCC 0287   :   224003 cycles (  1.187060%)    74765 ins (3.00 cpi) ********
0281 : INC 31     :     1460 cycles (  0.007737%)      292 ins (5.00 cpi)
0283 : BNE 0287   :      875 cycles (  0.004637%)      292 ins (3.00 cpi)
0285 : INC 32     :        5 cycles (  0.000026%)        1 ins (5.00 cpi)
0287 : LDA 22     :   224295 cycles (  1.188607%)    74765 ins (3.00 cpi) ********
0289 : BNE 0259   :   217756 cycles (  1.153955%)    74765 ins (2.91 cpi) ********
